timestamp,tail,owner,airport,airport_name,leg
2023-09-28,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-09-28,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-09-28,N628TS,Elon Musk,EGP,Eagle Pass Municipal Airport,arrival
2023-09-18,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-09-18,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-09-17,N628TS,Elon Musk,TEB,Teterboro Airport,departure
2023-09-17,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2023-09-17,N628TS,Elon Musk,JAC,Jackson Hole Airport,departure
2023-09-17,N628TS,Elon Musk,TEB,Teterboro Airport,arrival
2023-09-17,N628TS,Elon Musk,SLC,Salt Lake City International Airport,departure
2023-09-17,N628TS,Elon Musk,JAC,Jackson Hole Airport,arrival
2023-09-16,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-09-16,N628TS,Elon Musk,SLC,Salt Lake City International Airport,arrival
2023-09-14,N628TS,Elon Musk,DCA,Ronald Reagan Washington National Airport,departure
2023-09-14,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-09-13,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-09-13,N628TS,Elon Musk,DCA,Ronald Reagan Washington National Airport,arrival
2023-09-12,N628TS,Elon Musk,OAK,Oakland International Airport,departure
2023-09-12,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-09-11,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,departure
2023-09-11,N628TS,Elon Musk,OAK,Oakland International Airport,arrival
2023-09-09,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-09-09,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,arrival
2023-09-07,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-09-07,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2023-08-31,N628TS,Elon Musk,CLE,Cleveland Hopkins International Airport,departure
2023-08-31,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-08-14,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-08-14,N628TS,Elon Musk,CLE,Cleveland Hopkins International Airport,arrival
